Number of contigs:3238.000000
Maximum contig lenth:5237.000000
Mean contig:498.550031
Total length of the genome assembly:1614305.000000
Mean depth coverage:41.012527
N50 value of assembly:1081.000000
# Contig length	Number of contigs in this category
0	893
100	597
200	377
300	252
400	191
500	117
600	112
700	89
800	77
900	60
1000	50
1100	56
1200	52
1300	54
1400	28
1500	25
1600	27
1700	21
1800	16
1900	22
2000	5
2100	15
2200	8
2300	9
2400	6
2500	13
2600	5
2700	9
2800	3
2900	3
3000	6
3100	2
3200	5
3300	3
3400	3
3500	2
3600	1
3700	2
3800	4
3900	4
4000	1
4100	0
4200	2
4300	3
4400	1
4500	0
4600	2
4700	3
4800	0
4900	0
5000	1
5100	0
5200	1
