Number of contigs:1226.000000
Maximum contig lenth:10372.000000
Mean contig:912.020392
Total length of the genome assembly:1118137.000000
Mean depth coverage:62.944772
N50 value of assembly:1808.000000
# Contig length	Number of contigs in this category
0	59
100	247
200	164
300	99
400	84
500	50
600	37
700	41
800	37
900	31
1000	26
1100	28
1200	26
1300	34
1400	22
1500	22
1600	15
1700	16
1800	18
1900	17
2000	12
2100	19
2200	3
2300	11
2400	8
2500	9
2600	5
2700	6
2800	8
2900	6
3000	5
3100	6
3200	5
3300	3
3400	4
3500	3
3600	4
3700	0
3800	2
3900	2
4000	2
4100	1
4200	1
4300	3
4400	3
4500	4
4600	0
4700	2
4800	2
4900	0
5000	1
5100	1
5200	2
5300	0
5400	2
5500	0
5600	0
5700	0
5800	0
5900	1
6000	0
6100	0
6200	1
6300	1
6400	0
6500	0
6600	0
6700	0
6800	0
6900	0
7000	0
7100	0
7200	1
7300	0
7400	0
7500	0
7600	1
7700	0
7800	0
7900	1
8000	0
8100	0
8200	0
8300	0
8400	0
8500	0
8600	0
8700	1
8800	0
8900	0
9000	0
9100	0
9200	0
9300	0
9400	0
9500	0
9600	0
9700	0
9800	0
9900	0
10000	0
10100	0
10200	0
10300	1
