Number of contigs:623.000000
Maximum contig lenth:10372.000000
Mean contig:1650.502408
Total length of the genome assembly:1028263.000000
Mean depth coverage:49.797791
N50 value of assembly:2044.000000
# Contig length	Number of contigs in this category
0	0
100	0
200	0
300	0
400	0
500	56
600	44
700	46
800	41
900	34
1000	29
1100	28
1200	31
1300	37
1400	24
1500	21
1600	17
1700	15
1800	19
1900	20
2000	11
2100	20
2200	5
2300	11
2400	8
2500	12
2600	5
2700	6
2800	9
2900	6
3000	7
3100	6
3200	5
3300	3
3400	4
3500	2
3600	4
3700	0
3800	2
3900	3
4000	2
4100	1
4200	1
4300	3
4400	3
4500	3
4600	0
4700	2
4800	2
4900	0
5000	1
5100	1
5200	2
5300	0
5400	2
5500	0
5600	0
5700	0
5800	0
5900	1
6000	0
6100	0
6200	2
6300	1
6400	0
6500	0
6600	0
6700	0
6800	0
6900	0
7000	0
7100	0
7200	1
7300	0
7400	0
7500	0
7600	1
7700	0
7800	0
7900	1
8000	0
8100	0
8200	0
8300	0
8400	0
8500	0
8600	0
8700	1
8800	0
8900	0
9000	0
9100	0
9200	0
9300	0
9400	0
9500	0
9600	0
9700	0
9800	0
9900	0
10000	0
10100	0
10200	0
10300	1
